"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_names","who","...1","outcome"
"129",0.802,0.463,8,-8.379,1,0.162,0.236,0.00531,0.105,0.291,103.961,"audio_features","39NDBdU5Xkm5pCFGa5kZtI","spotify:track:39NDBdU5Xkm5pCFGa5kZtI","https://api.spotify.com/v1/tracks/39NDBdU5Xkm5pCFGa5kZtI","https://api.spotify.com/v1/audio-analysis/39NDBdU5Xkm5pCFGa5kZtI",287040,4,"Ladders","Annie",29,0
"130",0.516,0.546,5,-9.105,1,0.249,0.814,4.5e-06,0.0995,0.515,78.267,"audio_features","4gT3mNJA8lnlkYFqGZ8IA2","spotify:track:4gT3mNJA8lnlkYFqGZ8IA2","https://api.spotify.com/v1/tracks/4gT3mNJA8lnlkYFqGZ8IA2","https://api.spotify.com/v1/audio-analysis/4gT3mNJA8lnlkYFqGZ8IA2",271733,4,"Small Worlds","Annie",30,0
"131",0.787,0.472,6,-10.032,0,0.113,0.64,5.22e-05,0.11,0.264,144.998,"audio_features","1oFEAWvPHP5TdSlmIs77sV","spotify:track:1oFEAWvPHP5TdSlmIs77sV","https://api.spotify.com/v1/tracks/1oFEAWvPHP5TdSlmIs77sV","https://api.spotify.com/v1/audio-analysis/1oFEAWvPHP5TdSlmIs77sV",210253,4,"Conversation Pt. 1","Annie",31,0
"132",0.622,0.229,1,-11.322,1,0.0445,0.768,0.00906,0.134,0.0998,81.87,"audio_features","3YnwIp2b99p3e5dsFTXIIx","spotify:track:3YnwIp2b99p3e5dsFTXIIx","https://api.spotify.com/v1/tracks/3YnwIp2b99p3e5dsFTXIIx","https://api.spotify.com/v1/audio-analysis/3YnwIp2b99p3e5dsFTXIIx",237093,4,"Dunno","Annie",32,0
"133",0.791,0.557,7,-9.622,0,0.0698,0.54,0,0.103,0.284,119.973,"audio_features","2JmFRXaJrkAUD2cs6U20KG","spotify:track:2JmFRXaJrkAUD2cs6U20KG","https://api.spotify.com/v1/tracks/2JmFRXaJrkAUD2cs6U20KG","https://api.spotify.com/v1/audio-analysis/2JmFRXaJrkAUD2cs6U20KG",345213,4,"Jet Fuel","Annie",33,0
"134",0.533,0.496,6,-9.363,0,0.517,0.77,0.000164,0.0969,0.173,155.158,"audio_features","6dFn6my1sHK2bcf23GlHwM","spotify:track:6dFn6my1sHK2bcf23GlHwM","https://api.spotify.com/v1/tracks/6dFn6my1sHK2bcf23GlHwM","https://api.spotify.com/v1/audio-analysis/6dFn6my1sHK2bcf23GlHwM",347987,4,"2009","Annie",34,0
"135",0.576,0.556,0,-6.474,1,0.231,0.812,0.125,0.0943,0.294,148.173,"audio_features","0EA2RhRHL4KWeNa7JfD1Yw","spotify:track:0EA2RhRHL4KWeNa7JfD1Yw","https://api.spotify.com/v1/tracks/0EA2RhRHL4KWeNa7JfD1Yw","https://api.spotify.com/v1/audio-analysis/0EA2RhRHL4KWeNa7JfD1Yw",312960,4,"So It Goes","Annie",35,0
"136",0.552,0.391,4,-9.487,1,0.401,0.103,0,0.173,0.362,87.993,"audio_features","75w3hkYlT7dH1IWXMqBdq9","spotify:track:75w3hkYlT7dH1IWXMqBdq9","https://api.spotify.com/v1/tracks/75w3hkYlT7dH1IWXMqBdq9","https://api.spotify.com/v1/audio-analysis/75w3hkYlT7dH1IWXMqBdq9",274769,4,"Penelope","Annie",36,0
"137",0.792,0.555,0,-7.038,1,0.34,0.0394,6.39e-06,0.107,0.084,99.954,"audio_features","5H0NU2sHWUnWCcZyYlX46X","spotify:track:5H0NU2sHWUnWCcZyYlX46X","https://api.spotify.com/v1/tracks/5H0NU2sHWUnWCcZyYlX46X","https://api.spotify.com/v1/audio-analysis/5H0NU2sHWUnWCcZyYlX46X",273600,4,"65th & Ingleside","Annie",37,0
"138",0.846,0.809,2,-3.619,1,0.287,0.034,0,0.151,0.267,85.011,"audio_features","2cEnYJKLSZPH7MFSk6C05c","spotify:track:2cEnYJKLSZPH7MFSk6C05c","https://api.spotify.com/v1/tracks/2cEnYJKLSZPH7MFSk6C05c","https://api.spotify.com/v1/audio-analysis/2cEnYJKLSZPH7MFSk6C05c",216277,4,"Wala Cam","Annie",38,0
